product_name,description,category,unit,keywords,specifications,provider_name,provider_contact,provider_phone,provider_email,provider_address,price,stock_quantity,delivery_time_hours
Martillo de Carpintero,Martillo de carpintero con mango de madera y cabeza de acero,Herramientas Manuales,unidad,"martillo,carpintero,herramienta,acero,madera","Peso: 500g, Material: Acero y madera, Longitud: 30cm",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",3.25,80,8
Destornillador Phillips,Destornillador Phillips de 6mm con mango ergonómico,Herramientas Manuales,unidad,"destornillador,phillips,herramienta,acero","Tamaño: 6mm, Material: Acero cromado, Longitud: 20cm",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",25.99,50,4
Taladro Eléctrico,Taladro eléctrico de 13mm con velocidad variable,Herramientas Eléctricas,unidad,"taladro,eléctrico,herramienta,potencia","Potencia: 600W, Velocidad: 0-3000 RPM, Incluye maletín",Hardware Store C,Carlos López,-657,carlos@hardwarec.com,"789 Pine Rd, City C",19.99,30,24
Sierra Circular,Sierra circular de 7 1/4 pulgadas con motor de 15A,Herramientas Eléctricas,unidad,"sierra,circular,eléctrica,corte","Diámetro: 7 1/4 pulgadas, Potencia: 15A, Incluye hoja",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",0.15,1000,4
Cable Eléctrico,Cable eléctrico THHN #12 AWG de 100 metros,Eléctricos,metro,"cable,eléctrico,thhn,conductor","Calibre: #12 AWG, Tipo: THHN, Longitud: 100m",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",0.12,800,8
Interruptor de Pared,Interruptor de pared simple de 15A,Eléctricos,unidad,"interruptor,pared,eléctrico,15a","Amperaje: 15A, Tipo: Simple, Color: Blanco",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",3.25,80,8
Tornillos Phillips,Tornillos Phillips #8 x 1 pulgada caja de 100,Herrajes,unidad,"tornillos,phillips,acero,100","Tamaño: #8 x 1 pulgada, Material: Acero, Cantidad: 100",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",25.99,50,4
Tuercas Hexagonales,Tuercas hexagonales M8 caja de 50,Herrajes,unidad,"tuercas,hexagonales,m8,acero","Tamaño: M8, Material: Acero, Cantidad: 50",Hardware Store C,Carlos López,-657,carlos@hardwarec.com,"789 Pine Rd, City C",19.99,30,24
Pintura Interior,Pintura interior látex blanco 1 galón,Pinturas,galón,"pintura,interior,látex,blanco","Tipo: Látex, Color: Blanco, Cobertura: 400 sq ft",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",0.15,1000,4
Brocha de Pintura,Brocha de pintura de 2 pulgadas para interiores,Pinturas,unidad,"brocha,pintura,2 pulgadas,interior","Ancho: 2 pulgadas, Uso: Interior, Material: Cerdas naturales",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",0.12,800,8
Cemento Portland,Cemento Portland tipo I bolsa de 50kg,Construcción,bolsa,"cemento,portland,tipo i,50kg","Tipo: I, Peso: 50kg, Resistencia: 28 días",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",3.25,80,8
Arena Fina,Arena fina para construcción metro cúbico,Construcción,metro³,"arena,fina,construcción,metro","Tipo: Fina, Uso: Construcción, Volumen: 1 metro³",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",25.99,50,4
Ladrillo Rojo,Ladrillo rojo estándar caja de 100,Construcción,unidad,"ladrillo,rojo,estándar,100","Tamaño: Estándar, Color: Rojo, Cantidad: 100",Hardware Store C,Carlos López,-657,carlos@hardwarec.com,"789 Pine Rd, City C",19.99,30,24
Lámpara LED,Lámpara LED de 60W equivalente,Iluminación,unidad,"lámpara,led,60w,blanco","Potencia: 60W equivalente, Color: Blanco, Vida útil: 25,000 horas",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",0.15,1000,4
Plafón de Techo,Plafón de techo redondo de 12 pulgadas,Iluminación,unidad,"plafón,techo,redondo,12 pulgadas","Diámetro: 12 pulgadas, Material: Metal, Color: Blanco",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",0.12,800,8
Tubería PVC,Tubería PVC de 2 pulgadas 3 metros,Plomería,metro,"tubería,pvc,2 pulgadas,3m","Diámetro: 2 pulgadas, Longitud: 3m, Tipo: PVC",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",3.25,80,8
Codo PVC,Codo PVC de 90 grados 2 pulgadas,Plomería,unidad,"codo,pvc,90 grados,2 pulgadas","Ángulo: 90 grados, Diámetro: 2 pulgadas, Material: PVC",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",25.99,50,4
Válvula de Agua,Válvula de agua de 1/2 pulgada,Plomería,unidad,"válvula,agua,1/2 pulgada,latón","Tamaño: 1/2 pulgada, Material: Latón, Tipo: Compresión",Hardware Store C,Carlos López,-657,carlos@hardwarec.com,"789 Pine Rd, City C",19.99,30,24
Cinta Métrica,Cinta métrica de 25 pies con gancho,Herramientas Manuales,unidad,"cinta,métrica,25 pies,gancho","Longitud: 25 pies, Incluye gancho, Material: Acero",Hardware Store A,Juan Pérez,-655,juan@hardwarea.com,"123 Main St, City A",0.15,1000,4
Nivel de Burbuja,Nivel de burbuja de 24 pulgadas,Herramientas Manuales,unidad,"nivel,burbuja,24 pulgadas,aluminio","Longitud: 24 pulgadas, Material: Aluminio, 3 burbujas",Hardware Store B,María García,-656,maria@hardwareb.com,"456 Oak Ave, City B",0.12,800,8
